username,repo_name,stars,repo_url
mrdoob,three.js,69900,https:/github.com/mrdoob/three.js
libgdx,libgdx,18300,https:/github.com/libgdx/libgdx
BabylonJS,Babylon.js,13900,https:/github.com/BabylonJS/Babylon.js
pmndrs,react-three-fiber,13000,https:/github.com/pmndrs/react-three-fiber
aframevr,aframe,12700,https:/github.com/aframevr/aframe
ssloy,tinyrenderer,10600,https:/github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,9200,https:/github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,8500,https:/github.com/lettier/3d-game-shaders-for-beginners
metafizzy,zdog,8400,https:/github.com/metafizzy/zdog
CesiumGS,cesium,6900,https:/github.com/CesiumGS/cesium
a1studmuffin,SpaceshipGenerator,6700,https:/github.com/a1studmuffin/SpaceshipGenerator
timzhang642,3D-Machine-Learning,6500,https:/github.com/timzhang642/3D-Machine-Learning
spritejs,spritejs,4400,https:/github.com/spritejs/spritejs
tensorspace-team,tensorspace,4400,https:/github.com/tensorspace-team/tensorspace
intel-isl,Open3D,4400,https:/github.com/intel-isl/Open3D
jagenjo,webglstudio.js,4300,https:/github.com/jagenjo/webglstudio.js
AaronJackson,vrn,4300,https:/github.com/AaronJackson/vrn
YadiraF,PRNet,4300,https:/github.com/YadiraF/PRNet
openscad,openscad,4000,https:/github.com/openscad/openscad
domlysz,BlenderGIS,3800,https:/github.com/domlysz/BlenderGIS
ssloy,tinyraytracer,3700,https:/github.com/ssloy/tinyraytracer
mosra,magnum,3500,https:/github.com/mosra/magnum
cleardusk,3DDFA,3000,https:/github.com/cleardusk/3DDFA
gfxfundamentals,webgl-fundamentals,3000,https:/github.com/gfxfundamentals/webgl-fundamentals
jasonlong,isometric-contributions,2900,https:/github.com/jasonlong/isometric-contributions
google,model-viewer,2800,https:/github.com/google/model-viewer
blender,blender,2500,https:/github.com/blender/blender
antvis,L7,2300,https:/github.com/antvis/L7
pissang,claygl,2200,https:/github.com/pissang/claygl
tinyobjloader,tinyobjloader,2200,https:/github.com/tinyobjloader/tinyobjloader
