username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,9500,https:/github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,8900,https:/github.com/dotnet/AspNetCore.Docs
bitwarden,server,7700,https:/github.com/bitwarden/server
ElectronNET,Electron.NET,5600,https:/github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4300,https:/github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,3700,https:/github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2400,https:/github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2200,https:/github.com/smartstore/SmartStoreNET
microsoft,aspnet-api-versioning,2000,https:/github.com/microsoft/aspnet-api-versioning
loic-sharma,BaGet,1600,https:/github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1400,https:/github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https:/github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1100,https:/github.com/lampo1024/DncZeus
mjebrahimi,Awesome-Microservices-NetCore,1000,https:/github.com/mjebrahimi/Awesome-Microservices-NetCore
MarimerLLC,csla,879,https:/github.com/MarimerLLC/csla
riganti,dotvvm,530,https:/github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,466,https:/github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
chsakell,mvcarchitecture,429,https:/github.com/chsakell/mvcarchitecture
antonioCoco,SharPyShell,416,https:/github.com/antonioCoco/SharPyShell
brthor,Gofer.NET,389,https:/github.com/brthor/Gofer.NET
Maarten88,rrod,368,https:/github.com/Maarten88/rrod
YAFNET,YAFNET,367,https:/github.com/YAFNET/YAFNET
SapphireDb,SapphireDb,330,https:/github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,314,https:/github.com/Taritsyn/WebMarkupMin
cornflourblue,aspnet-core-jwt-authentication-api,273,https:/github.com/cornflourblue/aspnet-core-jwt-authentication-api
IvanJosipovic,BlazorTable,266,https:/github.com/IvanJosipovic/BlazorTable
EEParker,aspnetcore-vueclimiddleware,260,https:/github.com/EEParker/aspnetcore-vueclimiddleware
grandchamp,Identity.Dapper,241,https:/github.com/grandchamp/Identity.Dapper
ElectronNET,electron.net-api-demos,238,https:/github.com/ElectronNET/electron.net-api-demos
OpenTouryoProject,OpenTouryo,233,https:/github.com/OpenTouryoProject/OpenTouryo
