username,repo_name,stars,repo_url
metafizzy,infinite-scroll,6900,https:/github.com/metafizzy/infinite-scroll
ljianshu,Blog,6400,https:/github.com/ljianshu/Blog
developit,unfetch,5100,https:/github.com/developit/unfetch
jquery-form,form,5100,https:/github.com/jquery-form/form
Studio-42,elFinder,4000,https:/github.com/Studio-42/elFinder
olifolkerd,tabulator,3900,https:/github.com/olifolkerd/tabulator
ded,reqwest,2900,https:/github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2500,https:/github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2300,https:/github.com/LeaVerou/bliss
elbywan,wretch,2200,https:/github.com/elbywan/wretch
noelboss,featherlight,2000,https:/github.com/noelboss/featherlight
craftpip,jquery-confirm,1700,https:/github.com/craftpip/jquery-confirm
wendux,Ajax-hook,1600,https:/github.com/wendux/Ajax-hook
ptaoussanis,sente,1600,https:/github.com/ptaoussanis/sente
joaomilho,Enterprise,1500,https:/github.com/joaomilho/Enterprise
nette,tracy,1400,https:/github.com/nette/tracy
u014427391,jeeplatform,1300,https:/github.com/u014427391/jeeplatform
yisainan,web-interview,1300,https:/github.com/yisainan/web-interview
MoOx,pjax,1200,https:/github.com/MoOx/pjax
danielm,uploader,1000,https:/github.com/danielm/uploader
loadingio,css-spinner,1000,https:/github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,1000,https:/github.com/codingforentrepreneurs/eCommerce
renderedtext,render_async,990,https:/github.com/renderedtext/render_async
swlib,saber,883,https:/github.com/swlib/saber
webcreate,infinite-ajax-scroll,805,https:/github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,726,https:/github.com/opensource-socialnetwork/opensource-socialnetwork
rapidjs,rapid.js,701,https:/github.com/rapidjs/rapid.js
proyecto26,RestClient,700,https:/github.com/proyecto26/RestClient
ni-ze,ssm-BookAppointment,672,https:/github.com/ni-ze/ssm-BookAppointment
csxiaoyaojianxian,JavaScriptStudy,538,https:/github.com/csxiaoyaojianxian/JavaScriptStudy
