username,repo_name,stars,repo_url
serverless,serverless,39500,https:/github.com/serverless/serverless
localstack,localstack,29800,https:/github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21000,https:/github.com/donnemartin/data-science-ipython-notebooks
ramitsurana,awesome-kubernetes,11500,https:/github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,10900,https:/github.com/aws/aws-cli
kubernetes-sigs,kubespray,10400,https:/github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,9200,https:/github.com/donnemartin/awesome-aws
apereo,cas,8600,https:/github.com/apereo/cas
pulumi,pulumi,8400,https:/github.com/pulumi/pulumi
bregman-arie,devops-exercises,8200,https:/github.com/bregman-arie/devops-exercises
apex,up,8200,https:/github.com/apex/up
aws-amplify,amplify-js,8000,https:/github.com/aws-amplify/amplify-js
aws,serverless-application-model,7900,https:/github.com/aws/serverless-application-model
aws,chalice,7800,https:/github.com/aws/chalice
google,go-cloud,7700,https:/github.com/google/go-cloud
mozilla,sops,7300,https:/github.com/mozilla/sops
caprover,caprover,7100,https:/github.com/caprover/caprover
aws,aws-sdk-go,6900,https:/github.com/aws/aws-sdk-go
aws,aws-cdk,6600,https:/github.com/aws/aws-cdk
aws,aws-sdk-js,6600,https:/github.com/aws/aws-sdk-js
boto,boto3,6300,https:/github.com/boto/boto3
angristan,openvpn-install,6200,https:/github.com/angristan/openvpn-install
awslabs,aws-shell,6100,https:/github.com/awslabs/aws-shell
hashicorp,terraform-provider-aws,5700,https:/github.com/hashicorp/terraform-provider-aws
aws,aws-sam-cli,5500,https:/github.com/aws/aws-sam-cli
donnemartin,dev-setup,5400,https:/github.com/donnemartin/dev-setup
aws,amazon-sagemaker-examples,5400,https:/github.com/aws/amazon-sagemaker-examples
gruntwork-io,terratest,5200,https:/github.com/gruntwork-io/terratest
gruntwork-io,terragrunt,4900,https:/github.com/gruntwork-io/terragrunt
99designs,aws-vault,4800,https:/github.com/99designs/aws-vault
