username,repo_name,stars,repo_url
flutter,flutter,119000,https:/github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,79000,https:/github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,47800,https:/github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,43800,https:/github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,42700,https:/github.com/google/material-design-icons
wasabeef,awesome-android-ui,40400,https:/github.com/wasabeef/awesome-android-ui
square,okhttp,39900,https:/github.com/square/okhttp
android,architecture-samples,38600,https:/github.com/android/architecture-samples
square,retrofit,38000,https:/github.com/square/retrofit
Solido,awesome-flutter,35200,https:/github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,33200,https:/github.com/PhilJay/MPAndroidChart
fastlane,fastlane,31700,https:/github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,31400,https:/github.com/shadowsocks/shadowsocks-android
bumptech,glide,31100,https:/github.com/bumptech/glide
airbnb,lottie-android,31000,https:/github.com/airbnb/lottie-android
Trinea,android-open-project,30600,https:/github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,29200,https:/github.com/Blankj/AndroidUtilCode
xitu,gold-miner,28800,https:/github.com/xitu/gold-miner
bilibili,ijkplayer,28700,https:/github.com/bilibili/ijkplayer
zxing,zxing,27600,https:/github.com/zxing/zxing
codepath,android_guides,27300,https:/github.com/codepath/android_guides
square,leakcanary,26000,https:/github.com/square/leakcanary
skylot,jadx,25800,https:/github.com/skylot/jadx
alibaba,fastjson,23300,https:/github.com/alibaba/fastjson
laurent22,joplin,22500,https:/github.com/laurent22/joplin
scwang90,SmartRefreshLayout,22400,https:/github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,21800,https:/github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,20500,https:/github.com/react-native-elements/react-native-elements
NativeScript,NativeScript,20000,https:/github.com/NativeScript/NativeScript
futurice,android-best-practices,19700,https:/github.com/futurice/android-best-practices
