username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,79000,https:/github.com/justjavac/free-programming-books-zh_CN
angular,angular,72700,https:/github.com/angular/angular
storybookjs,storybook,60700,https:/github.com/storybookjs/storybook
ionic-team,ionic-framework,43500,https:/github.com/ionic-team/ionic-framework
prettier,prettier,39500,https:/github.com/prettier/prettier
leonardomso,33-js-concepts,39200,https:/github.com/leonardomso/33-js-concepts
SheetJS,sheetjs,25300,https:/github.com/SheetJS/sheetjs
angular,angular-cli,24400,https:/github.com/angular/angular-cli
angular,components,21400,https:/github.com/angular/components
NativeScript,NativeScript,20000,https:/github.com/NativeScript/NativeScript
jhipster,generator-jhipster,18300,https:/github.com/jhipster/generator-jhipster
Eugeny,terminus,17600,https:/github.com/Eugeny/terminus
handsontable,handsontable,15100,https:/github.com/handsontable/handsontable
sweetalert2,sweetalert2,12800,https:/github.com/sweetalert2/sweetalert2
linnovate,mean,12100,https:/github.com/linnovate/mean
goldbergyoni,javascript-testing-best-practices,11100,https:/github.com/goldbergyoni/javascript-testing-best-practices
coreui,coreui-free-bootstrap-admin-template,10700,https:/github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox,codesandbox-client,10500,https:/github.com/codesandbox/codesandbox-client
PatrickJS,angular-starter,10400,https:/github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,9300,https:/github.com/Chocobozzz/PeerTube
angular,protractor,8700,https:/github.com/angular/protractor
OnsenUI,OnsenUI,8300,https:/github.com/OnsenUI/OnsenUI
text-mask,text-mask,8000,https:/github.com/text-mask/text-mask
PatrickJS,awesome-angular,7900,https:/github.com/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7700,https:/github.com/ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,7400,https:/github.com/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,7200,https:/github.com/ag-grid/ag-grid
rematch,rematch,7100,https:/github.com/rematch/rematch
akveo,nebular,7000,https:/github.com/akveo/nebular
nrwl,nx,6900,https:/github.com/nrwl/nx
