username,repo_name,stars,repo_url
ansible,ansible,47900,https:/github.com/ansible/ansible
StreisandEffect,streisand,22300,https:/github.com/StreisandEffect/streisand
trailofbits,algo,20500,https:/github.com/trailofbits/algo
kubernetes-sigs,kubespray,10400,https:/github.com/kubernetes-sigs/kubespray
ansible,awx,9600,https:/github.com/ansible/awx
bregman-arie,devops-exercises,8200,https:/github.com/bregman-arie/devops-exercises
easzlab,kubeasz,6800,https:/github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,4500,https:/github.com/geerlingguy/ansible-for-devops
rundeck,rundeck,4200,https:/github.com/rundeck/rundeck
ansible-semaphore,semaphore,4000,https:/github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,3600,https:/github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,3400,https:/github.com/KubeOperator/KubeOperator
geerlingguy,mac-dev-playbook,3200,https:/github.com/geerlingguy/mac-dev-playbook
ansible-community,molecule,3100,https:/github.com/ansible-community/molecule
clong,DetectionLab,2700,https:/github.com/clong/DetectionLab
welliamcao,OpsManage,2700,https:/github.com/welliamcao/OpsManage
opendevops-cn,opendevops,2700,https:/github.com/opendevops-cn/opendevops
ansible-community,ansible-lint,2500,https:/github.com/ansible-community/ansible-lint
netbootxyz,netboot.xyz,2400,https:/github.com/netbootxyz/netboot.xyz
werf,werf,2300,https:/github.com/werf/werf
roots,trellis,2200,https:/github.com/roots/trellis
alixaxel,chrome-aws-lambda,2200,https:/github.com/alixaxel/chrome-aws-lambda
dev-sec,ansible-collection-hardening,2100,https:/github.com/dev-sec/ansible-collection-hardening
ansistrano,deploy,2000,https:/github.com/ansistrano/deploy
openshift,openshift-ansible,2000,https:/github.com/openshift/openshift-ansible
fboender,ansible-cmdb,1900,https:/github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,1900,https:/github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,1900,https:/github.com/leucos/ansible-tuto
geerlingguy,ansible-vagrant-examples,1900,https:/github.com/geerlingguy/ansible-vagrant-examples
Artemmkin,infrastructure-as-code-tutorial,1900,https:/github.com/Artemmkin/infrastructure-as-code-tutorial
