username,repo_name,stars,repo_url
arendst,Tasmota,15100,https:/github.com/arendst/Tasmota
rwaldron,johnny-five,12200,https:/github.com/rwaldron/johnny-five
arduino,Arduino,11700,https:/github.com/arduino/Arduino
MarlinFirmware,Marlin,11000,https:/github.com/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,8200,https:/github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,7900,https:/github.com/tinygo-org/tinygo
hybridgroup,gobot,7100,https:/github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,6800,https:/github.com/gurugio/lowlevelprogramming-university
espressif,arduino-esp32,6600,https:/github.com/espressif/arduino-esp32
bblanchon,ArduinoJson,5100,https:/github.com/bblanchon/ArduinoJson
platformio,platformio-core,5000,https:/github.com/platformio/platformio-core
tzapu,WiFiManager,4600,https:/github.com/tzapu/WiFiManager
hybridgroup,cylon,3800,https:/github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3200,https:/github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3100,https:/github.com/blynkkk/blynk-library
NectarJS,nectarjs,2900,https:/github.com/NectarJS/nectarjs
arduino,arduino-cli,2900,https:/github.com/arduino/arduino-cli
gioblu,PJON,2500,https:/github.com/gioblu/PJON
blynkkk,blynk-server,2200,https:/github.com/blynkkk/blynk-server
1technophile,OpenMQTTGateway,2200,https:/github.com/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,2000,https:/github.com/scottlawsonbc/audio-reactive-led-strip
intel-isl,OpenBot,1800,https:/github.com/intel-isl/OpenBot
crankyoldgit,IRremoteESP8266,1700,https:/github.com/crankyoldgit/IRremoteESP8266
nRF24,RF24,1700,https:/github.com/nRF24/RF24
Serial-Studio,Serial-Studio,1700,https:/github.com/Serial-Studio/Serial-Studio
scottbez1,splitflap,1600,https:/github.com/scottbez1/splitflap
stm32duino,Arduino_Core_STM32,1500,https:/github.com/stm32duino/Arduino_Core_STM32
ThingPulse,esp8266-oled-ssd1306,1400,https:/github.com/ThingPulse/esp8266-oled-ssd1306
Bodmer,TFT_eSPI,1300,https:/github.com/Bodmer/TFT_eSPI
blinker-iot,blinker-library,1300,https:/github.com/blinker-iot/blinker-library
