username,repo_name,stars,repo_url
sindresorhus,awesome,159000,https:/github.com/sindresorhus/awesome
vinta,awesome-python,96300,https:/github.com/vinta/awesome-python
avelino,awesome-go,63800,https:/github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,57900,https:/github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,45700,https:/github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,43800,https:/github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,41700,https:/github.com/jaywcjlove/awesome-mac
sindresorhus,awesome-nodejs,40800,https:/github.com/sindresorhus/awesome-nodejs
521xueweihan,HelloGitHub,40400,https:/github.com/521xueweihan/HelloGitHub
wasabeef,awesome-android-ui,40400,https:/github.com/wasabeef/awesome-android-ui
DopplerHQ,awesome-interview-questions,39500,https:/github.com/DopplerHQ/awesome-interview-questions
trimstray,the-book-of-secret-knowledge,37800,https:/github.com/trimstray/the-book-of-secret-knowledge
vsouza,awesome-ios,37200,https:/github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,36900,https:/github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,35200,https:/github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,31900,https:/github.com/binhnguyennus/awesome-scalability
tiimgreen,github-cheat-sheet,31600,https:/github.com/tiimgreen/github-cheat-sheet
fffaraz,awesome-cpp,31100,https:/github.com/fffaraz/awesome-cpp
dypsilon,frontend-dev-bookmarks,30800,https:/github.com/dypsilon/frontend-dev-bookmarks
MunGell,awesome-for-beginners,30200,https:/github.com/MunGell/awesome-for-beginners
akullpp,awesome-java,28500,https:/github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,27100,https:/github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,26600,https:/github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,25800,https:/github.com/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,25200,https:/github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25000,https:/github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,22800,https:/github.com/goabstract/Awesome-Design-Tools
sindresorhus,awesome-electron,21400,https:/github.com/sindresorhus/awesome-electron
alebcay,awesome-shell,21200,https:/github.com/alebcay/awesome-shell
matteocrippa,awesome-swift,20600,https:/github.com/matteocrippa/awesome-swift
