username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,85700,https:/github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,48300,https:/github.com/nvm-sh/nvm
junegunn,fzf,36300,https:/github.com/junegunn/fzf
dylanaraps,pure-bash-bible,26900,https:/github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,26300,https:/github.com/mathiasbynens/dotfiles
koalaman,shellcheck,24400,https:/github.com/koalaman/shellcheck
acmesh-official,acme.sh,22000,https:/github.com/acmesh-official/acme.sh
alebcay,awesome-shell,21200,https:/github.com/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,18400,https:/github.com/LeCoupa/awesome-cheatsheets
starship,starship,16300,https:/github.com/starship/starship
jaywcjlove,linux-command,15800,https:/github.com/jaywcjlove/linux-command
Nyr,openvpn-install,13200,https:/github.com/Nyr/openvpn-install
powerline,powerline,12500,https:/github.com/powerline/powerline
Bash-it,bash-it,12200,https:/github.com/Bash-it/bash-it
shelljs,shelljs,11900,https:/github.com/shelljs/shelljs
dylanaraps,neofetch,11500,https:/github.com/dylanaraps/neofetch
faressoft,terminalizer,11200,https:/github.com/faressoft/terminalizer
jessfraz,dockerfiles,10900,https:/github.com/jessfraz/dockerfiles
denisidoro,navi,9000,https:/github.com/denisidoro/navi
rgcr,m-cli,8400,https:/github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8300,https:/github.com/alexanderepstein/Bash-Snippets
codota,TabNine,8100,https:/github.com/codota/TabNine
kanaka,mal,7700,https:/github.com/kanaka/mal
direnv,direnv,7400,https:/github.com/direnv/direnv
skywind3000,awesome-cheatsheets,7100,https:/github.com/skywind3000/awesome-cheatsheets
angristan,openvpn-install,6200,https:/github.com/angristan/openvpn-install
enquirer,enquirer,5900,https:/github.com/enquirer/enquirer
Mayccoll,Gogh,5800,https:/github.com/Mayccoll/Gogh
webpro,awesome-dotfiles,5700,https:/github.com/webpro/awesome-dotfiles
b-ryan,powerline-shell,5600,https:/github.com/b-ryan/powerline-shell
