username,repo_name,stars,repo_url
bitcoin,bitcoin,52500,https:/github.com/bitcoin/bitcoin
ccxt,ccxt,18900,https:/github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,16700,https:/github.com/HelloZeroNet/ZeroNet
askmike,gekko,9600,https:/github.com/askmike/gekko
freqtrade,freqtrade,7900,https:/github.com/freqtrade/freqtrade
bbfamily,abu,7800,https:/github.com/bbfamily/abu
lbryio,lbry-sdk,7300,https:/github.com/lbryio/lbry-sdk
yeasy,blockchain_guide,5600,https:/github.com/yeasy/blockchain_guide
dvf,blockchain,5600,https:/github.com/dvf/blockchain
butor,blackbird,5200,https:/github.com/butor/blackbird
lightningnetwork,lnd,5000,https:/github.com/lightningnetwork/lnd
spesmilo,electrum,4800,https:/github.com/spesmilo/electrum
btcsuite,btcd,4200,https:/github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4200,https:/github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,3900,https:/github.com/bitcoinj/bitcoinj
bisq-network,bisq,3500,https:/github.com/bisq-network/bisq
michaelgrosner,tribeca,3500,https:/github.com/michaelgrosner/tribeca
Scanate,EthList,3400,https:/github.com/Scanate/EthList
Zheaoli,awesome-coins,3300,https:/github.com/Zheaoli/awesome-coins
RomelTorres,alpha_vantage,3300,https:/github.com/RomelTorres/alpha_vantage
SqueezerIO,squeezer,3200,https:/github.com/SqueezerIO/squeezer
coinpride,CryptoList,3200,https:/github.com/coinpride/CryptoList
bitpay,wallet,3200,https:/github.com/bitpay/wallet
lbryio,lbrycrd,3000,https:/github.com/lbryio/lbrycrd
CryptoSignal,Crypto-Signal,2900,https:/github.com/CryptoSignal/Crypto-Signal
Jeiwan,blockchain_go,2900,https:/github.com/Jeiwan/blockchain_go
btcpayserver,btcpayserver,2600,https:/github.com/btcpayserver/btcpayserver
bcoin-org,bcoin,2500,https:/github.com/bcoin-org/bcoin
Xel,Blockchain-stuff,2400,https:/github.com/Xel/Blockchain-stuff
bitcoin-wallet,bitcoin-wallet,2400,https:/github.com/bitcoin-wallet/bitcoin-wallet
