username,repo_name,stars,repo_url
ccxt,ccxt,18900,https:/github.com/ccxt/ccxt
hubotio,hubot,15800,https:/github.com/hubotio/hubot
python-telegram-bot,python-telegram-bot,14500,https:/github.com/python-telegram-bot/python-telegram-bot
timgrossmann,InstaPy,12700,https:/github.com/timgrossmann/InstaPy
RasaHQ,rasa,11200,https:/github.com/RasaHQ/rasa
discordjs,discord.js,11100,https:/github.com/discordjs/discord.js
gunthercox,ChatterBot,11100,https:/github.com/gunthercox/ChatterBot
howdyai,botkit,10300,https:/github.com/howdyai/botkit
botpress,botpress,9200,https:/github.com/botpress/botpress
sfyc23,EverydayWechat,8200,https:/github.com/sfyc23/EverydayWechat
leon-ai,leon,7400,https:/github.com/leon-ai/leon
EZFNDEV,EZFN-Lobbybot,6900,https:/github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6500,https:/github.com/microsoft/botframework-sdk
microsoft,ailab,6400,https:/github.com/microsoft/ailab
maxbbraun,trump2cash,5900,https:/github.com/maxbbraun/trump2cash
botman,botman,5400,https:/github.com/botman/botman
yagop,node-telegram-bot-api,5200,https:/github.com/yagop/node-telegram-bot-api
deepmipt,DeepPavlov,5200,https:/github.com/deepmipt/DeepPavlov
telegraf,telegraf,4500,https:/github.com/telegraf/telegraf
tgbot-collection,YYeTsBot,4300,https:/github.com/tgbot-collection/YYeTsBot
axa-group,nlp.js,4300,https:/github.com/axa-group/nlp.js
jef,streetmerchant,3900,https:/github.com/jef/streetmerchant
ohld,igbot,3900,https:/github.com/ohld/igbot
PokemonGoF,PokemonGo-Bot,3700,https:/github.com/PokemonGoF/PokemonGo-Bot
Yoctol,bottender,3600,https:/github.com/Yoctol/bottender
snipsco,snips-nlu,3500,https:/github.com/snipsco/snips-nlu
goq,telegram-list,3000,https:/github.com/goq/telegram-list
botui,botui,2500,https:/github.com/botui/botui
orkestral,venom,2500,https:/github.com/orkestral/venom
jesse-ai,jesse,2300,https:/github.com/jesse-ai/jesse
