username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,26300,https:/github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,6300,https:/github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6100,https:/github.com/tokyo-metropolitan-gov/covid19
covid19india,covid19india-react,5400,https:/github.com/covid19india/covid19india-react
pcm-dpc,COVID-19,3800,https:/github.com/pcm-dpc/COVID-19
owid,covid-19-data,3400,https:/github.com/owid/covid-19-data
ieee8023,covid-chestxray-dataset,2600,https:/github.com/ieee8023/covid-chestxray-dataset
WorldHealthOrganization,app,2000,https:/github.com/WorldHealthOrganization/app
geohot,corona,1900,https:/github.com/geohot/corona
ahmadawais,corona-cli,1700,https:/github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,1700,https:/github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1500,https:/github.com/ExpDev07/coronavirus-tracker-api
mhdhejazi,CoronaTracker,1400,https:/github.com/mhdhejazi/CoronaTracker
soroushchehresa,awesome-coronavirus,1400,https:/github.com/soroushchehresa/awesome-coronavirus
neherlab,covid19_scenarios,1400,https:/github.com/neherlab/covid19_scenarios
github,covid19-dashboard,1200,https:/github.com/github/covid19-dashboard
pomber,covid19,1200,https:/github.com/pomber/covid19
FoldingAtHome,coronavirus,1100,https:/github.com/FoldingAtHome/coronavirus
datasets,covid-19,1100,https:/github.com/datasets/covid-19
chrismattmann,tika-python,1000,https:/github.com/chrismattmann/tika-python
lindawangg,COVID-Net,944,https:/github.com/lindawangg/COVID-Net
ImperialCollegeLondon,covid19model,919,https:/github.com/ImperialCollegeLondon/covid19model
cyberman54,ESP32-Paxcounter,858,https:/github.com/cyberman54/ESP32-Paxcounter
UCSD-AI4H,COVID-CT,835,https:/github.com/UCSD-AI4H/COVID-CT
chandrikadeb7,Face-Mask-Detection,817,https:/github.com/chandrikadeb7/Face-Mask-Detection
makers-for-life,makair,713,https:/github.com/makers-for-life/makair
globalcitizen,2019-wuhan-coronavirus-data,627,https:/github.com/globalcitizen/2019-wuhan-coronavirus-data
neuml,paperai,601,https:/github.com/neuml/paperai
javieraviles,covidAPI,591,https:/github.com/javieraviles/covidAPI
MohGovIL,hamagen-react-native,510,https:/github.com/MohGovIL/hamagen-react-native
