username,repo_name,stars,repo_url
electron,electron,91400,https:/github.com/electron/electron
FiloSottile,mkcert,29000,https:/github.com/FiloSottile/mkcert
ovity,octotree,21200,https:/github.com/ovity/octotree
segmentio,nightmare,18900,https:/github.com/segmentio/nightmare
jaywcjlove,linux-command,15800,https:/github.com/jaywcjlove/linux-command
iamadamdev,bypass-paywalls-chrome,14900,https:/github.com/iamadamdev/bypass-paywalls-chrome
prisma-archive,chromeless,13300,https:/github.com/prisma-archive/chromeless
checkly,headless-recorder,12900,https:/github.com/checkly/headless-recorder
google,WebFundamentals,12000,https:/github.com/google/WebFundamentals
casesandberg,react-color,9600,https:/github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,8100,https:/github.com/GoogleChrome/chrome-extensions-samples
uBlock-LLC,uBlock,8000,https:/github.com/uBlock-LLC/uBlock
crimx,ext-saladict,7100,https:/github.com/crimx/ext-saladict
alvarcarto,url-to-pdf-api,6400,https:/github.com/alvarcarto/url-to-pdf-api
chromedp,chromedp,6100,https:/github.com/chromedp/chromedp
kangvcar,InfoSpider,5500,https:/github.com/kangvcar/InfoSpider
yujiosaka,headless-chrome-crawler,5000,https:/github.com/yujiosaka/headless-chrome-crawler
MetaMask,metamask-extension,4600,https:/github.com/MetaMask/metamask-extension
firefox-devtools,debugger,4600,https:/github.com/firefox-devtools/debugger
Kenshin,simpread,4500,https:/github.com/Kenshin/simpread
MontFerret,ferret,4500,https:/github.com/MontFerret/ferret
burtonator,polar-bookshelf,4300,https:/github.com/burtonator/polar-bookshelf
nieweidong,fetool,4200,https:/github.com/nieweidong/fetool
mjswensen,themer,4100,https:/github.com/mjswensen/themer
bilibili-helper,bilibili-helper-o,3500,https:/github.com/bilibili-helper/bilibili-helper-o
brookhong,Surfingkeys,3500,https:/github.com/brookhong/Surfingkeys
melonjs,melonJS,3300,https:/github.com/melonjs/melonJS
lmk123,crx-selection-translate,3300,https:/github.com/lmk123/crx-selection-translate
gildas-lormeau,SingleFile,3200,https:/github.com/gildas-lormeau/SingleFile
smooth-code,jest-puppeteer,3100,https:/github.com/smooth-code/jest-puppeteer
