username,repo_name,stars,repo_url
metabase,metabase,24700,https:/github.com/metabase/metabase
eclipse,deeplearning4j,12000,https:/github.com/eclipse/deeplearning4j
LightTable,LightTable,11500,https:/github.com/LightTable/LightTable
lk-geimfari,awesomo,7900,https:/github.com/lk-geimfari/awesomo
kanaka,mal,7700,https:/github.com/kanaka/mal
reagent-project,reagent,4200,https:/github.com/reagent-project/reagent
tonsky,datascript,4100,https:/github.com/tonsky/datascript
riemann,riemann,4000,https:/github.com/riemann/riemann
penpot,penpot,4000,https:/github.com/penpot/penpot
weavejester,compojure,3900,https:/github.com/weavejester/compojure
bbatsov,clojure-style-guide,3600,https:/github.com/bbatsov/clojure-style-guide
logseq,logseq,3600,https:/github.com/logseq/logseq
izhangzhihao,intellij-rainbow-brackets,3500,https:/github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3300,https:/github.com/ring-clojure/ring
clojure-emacs,cider,3100,https:/github.com/clojure-emacs/cider
status-im,status-react,3100,https:/github.com/status-im/status-react
bhauman,lein-figwheel,2900,https:/github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2700,https:/github.com/tallesl/Rich-Hickey-fanclub
viebel,klipse,2600,https:/github.com/viebel/klipse
twosigma,beakerx,2500,https:/github.com/twosigma/beakerx
pedestal,pedestal,2400,https:/github.com/pedestal/pedestal
weavejester,hiccup,2200,https:/github.com/weavejester/hiccup
http-kit,http-kit,2200,https:/github.com/http-kit/http-kit
razum2um,awesome-clojure,2100,https:/github.com/razum2um/awesome-clojure
onyx-platform,onyx,2000,https:/github.com/onyx-platform/onyx
babashka,babashka,1900,https:/github.com/babashka/babashka
anmonteiro,lumo,1800,https:/github.com/anmonteiro/lumo
boot-clj,boot,1700,https:/github.com/boot-clj/boot
defold,defold,1600,https:/github.com/defold/defold
ptaoussanis,sente,1600,https:/github.com/ptaoussanis/sente
