username,repo_name,stars,repo_url
ovity,octotree,21200,https:/github.com/ovity/octotree
danger,danger,4400,https:/github.com/danger/danger
danger,danger-js,3800,https:/github.com/danger/danger-js
gitpod-io,gitpod,3700,https:/github.com/gitpod-io/gitpod
reviewdog,reviewdog,3200,https:/github.com/reviewdog/reviewdog
joho,awesome-code-review,2700,https:/github.com/joho/awesome-code-review
houndci,hound,1900,https:/github.com/houndci/hound
mbj,mutant,1700,https:/github.com/mbj/mutant
ajinabraham,nodejsscan,1700,https:/github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1600,https:/github.com/microsoft/vscode-pull-request-github
reviewboard,reviewboard,1300,https:/github.com/reviewboard/reviewboard
crev-dev,cargo-crev,1300,https:/github.com/crev-dev/cargo-crev
bit4woo,python_sec,937,https:/github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,888,https:/github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,868,https:/github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,762,https:/github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,506,https:/github.com/TeamCodeStream/codestream
enlightn,enlightn,423,https:/github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,409,https:/github.com/uwolfer/gerrit-intellij-plugin
bsamseth,cpp-project,344,https:/github.com/bsamseth/cpp-project
mookid,diffr,342,https:/github.com/mookid/diffr
palantir,policy-bot,341,https:/github.com/palantir/policy-bot
sjparkinson,static-review,330,https:/github.com/sjparkinson/static-review
dpnishant,raptor,317,https:/github.com/dpnishant/raptor
burrito-brothers,shiba,278,https:/github.com/burrito-brothers/shiba
mgreiler,code-review-checklist,239,https:/github.com/mgreiler/code-review-checklist
charignon,github-review,216,https:/github.com/charignon/github-review
src-d,lookout,141,https:/github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,134,https:/github.com/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,132,https:/github.com/thesp0nge/owasp-orizon
