username,repo_name,stars,repo_url
httpie,httpie,50600,https:/github.com/httpie/httpie
junegunn,fzf,36300,https:/github.com/junegunn/fzf
sharkdp,bat,26600,https:/github.com/sharkdp/bat
wagoodman,dive,25900,https:/github.com/wagoodman/dive
BurntSushi,ripgrep,24800,https:/github.com/BurntSushi/ripgrep
sherlock-project,sherlock,24500,https:/github.com/sherlock-project/sherlock
angular,angular-cli,24400,https:/github.com/angular/angular-cli
chubin,cheat.sh,24100,https:/github.com/chubin/cheat.sh
cli,cli,23100,https:/github.com/cli/cli
spf13,cobra,21300,https:/github.com/spf13/cobra
alebcay,awesome-shell,21200,https:/github.com/alebcay/awesome-shell
jesseduffield,lazygit,19600,https:/github.com/jesseduffield/lazygit
google,python-fire,19000,https:/github.com/google/python-fire
avajs,ava,18900,https:/github.com/avajs/ava
tqdm,tqdm,18100,https:/github.com/tqdm/tqdm
vercel,pkg,17900,https:/github.com/vercel/pkg
sharkdp,fd,17100,https:/github.com/sharkdp/fd
chalk,chalk,16300,https:/github.com/chalk/chalk
vadimdemedes,ink,16000,https:/github.com/vadimdemedes/ink
svg,svgo,16000,https:/github.com/svg/svgo
urfave,cli,15700,https:/github.com/urfave/cli
gpakosz,.tmux,13900,https:/github.com/gpakosz/.tmux
FormidableLabs,webpack-dashboard,13800,https:/github.com/FormidableLabs/webpack-dashboard
n8n-io,n8n,13500,https:/github.com/n8n-io/n8n
allinurl,goaccess,13100,https:/github.com/allinurl/goaccess
pomber,git-history,12500,https:/github.com/pomber/git-history
infinitered,ignite,12300,https:/github.com/infinitered/ignite
jarun,nnn,11200,https:/github.com/jarun/nnn
pallets,click,10700,https:/github.com/pallets/click
asdf-vm,asdf,10500,https:/github.com/asdf-vm/asdf
