username,repo_name,stars,repo_url
vercel,next.js,66200,https:/github.com/vercel/next.js
webpack,webpack,58100,https:/github.com/webpack/webpack
rust-lang,rust,54200,https:/github.com/rust-lang/rust
gatsbyjs,gatsby,50000,https:/github.com/gatsbyjs/gatsby
sveltejs,svelte,46400,https:/github.com/sveltejs/svelte
babel,babel,38900,https:/github.com/babel/babel
parcel-bundler,parcel,38000,https:/github.com/parcel-bundler/parcel
JetBrains,kotlin,36200,https:/github.com/JetBrains/kotlin
markedjs,marked,24900,https:/github.com/markedjs/marked
evanw,esbuild,23700,https:/github.com/evanw/esbuild
vlang,v,23500,https:/github.com/vlang/v
vercel,pkg,17900,https:/github.com/vercel/pkg
v8,v8,17400,https:/github.com/v8/v8
rome,tools,15000,https:/github.com/rome/tools
Konloch,bytecode-viewer,12000,https:/github.com/Konloch/bytecode-viewer
AssemblyScript,assemblyscript,11700,https:/github.com/AssemblyScript/assemblyscript
swc-project,swc,11600,https:/github.com/swc-project/swc
nim-lang,Nim,11200,https:/github.com/nim-lang/Nim
gopherjs,gopherjs,10100,https:/github.com/gopherjs/gopherjs
ziglang,zig,9000,https:/github.com/ziglang/zig
compiler-explorer,compiler-explorer,8500,https:/github.com/compiler-explorer/compiler-explorer
JetBrains,kotlin-native,7100,https:/github.com/JetBrains/kotlin-native
apache,tvm,6600,https:/github.com/apache/tvm
numba,numba,6400,https:/github.com/numba/numba
elm,compiler,6400,https:/github.com/elm/compiler
aalhour,awesome-compilers,5900,https:/github.com/aalhour/awesome-compilers
lebab,lebab,5400,https:/github.com/lebab/lebab
rescript-lang,rescript-compiler,5200,https:/github.com/rescript-lang/rescript-compiler
DoctorWkt,acwj,4900,https:/github.com/DoctorWkt/acwj
red,red,4500,https:/github.com/red/red
