username,repo_name,stars,repo_url
drone,drone,22900,https:/github.com/drone/drone
jenkinsci,jenkins,17200,https:/github.com/jenkinsci/jenkins
auchenberg,volkswagen,11400,https:/github.com/auchenberg/volkswagen
openshift,origin,7900,https:/github.com/openshift/origin
gocd,gocd,6100,https:/github.com/gocd/gocd
concourse,concourse,5600,https:/github.com/concourse/concourse
buildbot,buildbot,4600,https:/github.com/buildbot/buildbot
Strider-CD,strider,4500,https:/github.com/Strider-CD/strider
gaia-pipeline,gaia,4400,https:/github.com/gaia-pipeline/gaia
jenkins-x,jx,3800,https:/github.com/jenkins-x/jx
hygieia,Hygieia,3600,https:/github.com/hygieia/Hygieia
xcpretty,xcpretty,3600,https:/github.com/xcpretty/xcpretty
theonedev,onedev,3600,https:/github.com/theonedev/onedev
ovh,cds,3400,https:/github.com/ovh/cds
cake-build,cake,2900,https:/github.com/cake-build/cake
ligurio,awesome-ci,2500,https:/github.com/ligurio/awesome-ci
dancryer,PHPCI,2400,https:/github.com/dancryer/PHPCI
werf,werf,2300,https:/github.com/werf/werf
tox-dev,tox,2200,https:/github.com/tox-dev/tox
dreamans,syncd,1900,https:/github.com/dreamans/syncd
houndci,hound,1900,https:/github.com/houndci/hound
TheLartians,ModernCppStarter,1800,https:/github.com/TheLartians/ModernCppStarter
fabric8io,fabric8,1800,https:/github.com/fabric8io/fabric8
shivammathur,setup-php,1500,https:/github.com/shivammathur/setup-php
lastbackend,lastbackend,1500,https:/github.com/lastbackend/lastbackend
nuke-build,nuke,1200,https:/github.com/nuke-build/nuke
FlowCI,flow-core-x,1100,https:/github.com/FlowCI/flow-core-x
japaric,trust,1100,https:/github.com/japaric/trust
bmitch,churn-php,1100,https:/github.com/bmitch/churn-php
Piplin,Piplin,1000,https:/github.com/Piplin/Piplin
